"Temp","V:0","V:1","V:2","Pres","AsH3","GaMe3","CH4","H2","GlobalNodeId","PedigreeNodeId","Points:0","Points:1","Points:2"
913.15,12.823,-15.282,6.0993e-24,0.019496,0.086233,0.0006315,0.0010739,0.91206,6940,6940,-2.9186,-2.449,-0.28798
763.09,8.7452,-12.125,-12.355,0.019929,0.099171,0.001725,0.00096198,0.89814,7034,7034,-3.2159,-2.6984,-0.28798
913.15,15.282,-12.823,-0.12941,0.024829,0.087597,0.00087642,0.001008,0.91052,2064,2064,-2.449,-2.9186,0
737.39,8.6197,-10.835,-12.691,0.022752,0.10328,0.0020306,0.00092641,0.89376,3208,3208,-2.6984,-3.2159,0
913.15,15.282,-12.823,6.0993e-24,0.019496,0.086233,0.00063149,0.0010739,0.91206,6942,6942,-2.449,-2.9186,-0.28798
763.09,10.719,-10.422,-12.355,0.019928,0.099171,0.001725,0.00096198,0.89814,7035,7035,-2.6984,-3.2159,-0.28798
913.15,17.276,-9.9746,-0.1294,0.024829,0.087597,0.00087634,0.0010081,0.91052,2065,2065,-1.905,-3.2996,0
737.39,10.372,-9.173,-12.69,0.022752,0.10328,0.0020305,0.00092643,0.89376,3209,3209,-2.099,-3.6356,0
913.15,17.276,-9.9746,6.0993e-24,0.019496,0.086233,0.00063146,0.0010739,0.91206,6944,6944,-1.905,-3.2996,-0.28798
763.09,12.366,-8.4026,-12.354,0.019928,0.09917,0.0017249,0.000962,0.89814,7036,7036,-2.099,-3.6356,-0.28798
913.15,18.746,-6.823,-0.12939,0.024829,0.087597,0.00087626,0.0010081,0.91052,2066,2066,-1.3031,-3.5802,0
737.4,11.807,-7.2311,-12.688,0.022752,0.10328,0.0020304,0.00092645,0.89377,3210,3210,-1.4358,-3.9448,0
913.15,18.746,-6.823,6.0993e-24,0.019497,0.086233,0.00063143,0.0010739,0.91206,6946,6946,-1.3031,-3.5802,-0.28798
763.09,13.637,-6.1273,-12.353,0.019928,0.09917,0.0017248,0.00096202,0.89814,7037,7037,-1.4358,-3.9448,-0.28798
913.15,19.646,-3.4641,-0.12938,0.024829,0.087597,0.0008762,0.0010081,0.91052,2067,2067,-0.6616,-3.7521,0
913.15,19.646,-3.4641,6.0993e-24,0.019497,0.086233,0.0006314,0.0010739,0.91206,6948,6948,-0.6616,-3.7521,-0.28798
913.15,19.949,0,-0.12938,0.024829,0.087597,0.00087617,0.0010081,0.91052,115,115,0,-3.81,0
913.15,19.949,0,6.0993e-24,0.019497,0.086233,0.00063138,0.0010739,0.91206,6561,6561,0,-3.81,-0.28798
507.45,-6.4734,-0.68255,-20.096,0.022323,0.13493,0.0041061,0.00085661,0.86011,3211,3211,-1.7012,4.674,0
516.96,-6.8767,-1.4399,-21.063,0.019978,0.13169,0.0038182,0.00089563,0.8636,7038,7038,-1.7012,4.674,-0.28798
507.45,-6.2564,-1.7954,-20.098,0.022324,0.13493,0.0041062,0.00085658,0.86011,3212,3212,-2.487,4.3076,0
516.96,-6.522,-2.6117,-21.064,0.019979,0.13169,0.0038183,0.0008956,0.8636,7039,7039,-2.487,4.3076,-0.28798
507.44,-5.8506,-2.8544,-20.099,0.022324,0.13493,0.0041063,0.00085654,0.86011,3213,3213,-3.1972,3.8103,0
516.96,-5.97,-3.7046,-21.065,0.019979,0.13169,0.0038184,0.00089557,0.8636,7040,7040,-3.1972,3.8103,-0.28798
507.44,-5.2675,-3.8282,-20.1,0.022325,0.13493,0.0041065,0.00085652,0.86011,3214,3214,-3.8103,3.1972,0
516.96,-5.2371,-4.686,-21.066,0.019979,0.13169,0.0038185,0.00089554,0.8636,7041,7041,-3.8103,3.1972,-0.28798
507.44,-4.5231,-4.6866,-20.099,0.022324,0.13493,0.0041067,0.00085651,0.86011,3215,3215,-4.3076,2.487,0
516.96,-4.3443,-5.5256,-21.065,0.019979,0.13169,0.0038187,0.00089554,0.86359,7042,7042,-4.3076,2.487,-0.28798
507.45,-3.6399,-5.4018,-20.098,0.022324,0.13493,0.0041068,0.00085652,0.86011,3216,3216,-4.674,1.7012,0
516.96,-3.3185,-6.1966,-21.064,0.019979,0.13169,0.0038188,0.00089555,0.86359,7043,7043,-4.674,1.7012,-0.28798
507.45,-2.646,-5.9513,-20.097,0.022324,0.13493,0.0041068,0.00085654,0.86011,3217,3217,-4.8984,0.86373,0
516.97,-2.1918,-6.6784,-21.063,0.019979,0.13169,0.0038188,0.00089556,0.86359,7044,7044,-4.8984,0.86373,-0.28798
507.45,-1.5723,-6.3194,-20.097,0.022324,0.13493,0.0041067,0.00085655,0.86011,3218,3218,-4.974,6.227e-14,0
516.97,-0.99881,-6.9567,-21.063,0.019979,0.13169,0.0038188,0.00089557,0.86359,7045,7045,-4.974,6.2311e-14,-0.28798
507.45,-0.4514,-6.4953,-20.097,0.022324,0.13493,0.0041068,0.00085654,0.86011,3219,3219,-4.8984,-0.86373,0
516.97,0.2242,-7.0236,-21.063,0.019979,0.13169,0.0038188,0.00089557,0.86359,7046,7046,-4.8984,-0.86373,-0.28798
507.45,0.6826,-6.4746,-20.098,0.022324,0.13493,0.0041068,0.00085653,0.86011,3220,3220,-4.674,-1.7012,0
516.96,1.44,-6.8776,-21.064,0.019979,0.13169,0.0038188,0.00089556,0.86359,7047,7047,-4.674,-1.7012,-0.28798
507.44,1.796,-6.2586,-20.099,0.022325,0.13493,0.0041068,0.00085651,0.86011,3221,3221,-4.3076,-2.487,0
516.96,2.6123,-6.5237,-21.066,0.019979,0.13169,0.0038188,0.00089554,0.86359,7048,7048,-4.3076,-2.487,-0.28798
507.44,2.8562,-5.8535,-20.1,0.022325,0.13493,0.0041068,0.00085651,0.86011,3222,3222,-3.8103,-3.1972,0
516.96,3.7062,-5.9723,-21.066,0.019979,0.13169,0.0038188,0.00089554,0.86359,7049,7049,-3.8103,-3.1972,-0.28798
507.44,3.8311,-5.2696,-20.099,0.022324,0.13493,0.0041067,0.00085652,0.86011,3223,3223,-3.1972,-3.8103,0
516.96,4.6883,-5.2388,-21.065,0.019979,0.13169,0.0038187,0.00089555,0.86359,7050,7050,-3.1972,-3.8103,-0.28798
507.44,4.6892,-4.5241,-20.098,0.022324,0.13493,0.0041066,0.00085655,0.86011,3224,3224,-2.487,-4.3076,0
516.96,5.5276,-4.3452,-21.064,0.019979,0.13169,0.0038186,0.00089557,0.86359,7051,7051,-2.487,-4.3076,-0.28798
507.45,5.4035,-3.6404,-20.096,0.022323,0.13493,0.0041064,0.00085659,0.86011,3225,3225,-1.7012,-4.674,0
516.96,6.1981,-3.319,-21.063,0.019978,0.13169,0.0038185,0.0008956,0.86359,7052,7052,-1.7012,-4.674,-0.28798
615.79,-9.9172,-0.98313,-18.701,0.022409,0.11813,0.003076,0.00087363,0.87792,3226,3226,-1.5685,4.3094,0
631.25,-10.449,-2.2818,-19.293,0.019956,0.11444,0.0027825,0.00090864,0.88187,7053,7053,-1.5685,4.3094,-0.28798
615.78,-9.5957,-2.6889,-18.703,0.022409,0.11813,0.0030761,0.0008736,0.87792,3227,3227,-2.293,3.9716,0
631.24,-9.8939,-4.061,-19.294,0.019957,0.11444,0.0027825,0.00090862,0.88187,7054,7054,-2.293,3.9716,-0.28798
615.78,-8.9843,-4.3137,-18.704,0.02241,0.11813,0.0030762,0.00087356,0.87792,3228,3228,-2.9478,3.5131,0
631.24,-9.0391,-5.7172,-19.295,0.019957,0.11444,0.0027826,0.00090859,0.88187,7055,7055,-2.9478,3.5131,-0.28798
615.78,-8.1006,-5.8094,-18.705,0.02241,0.11813,0.0030763,0.00087354,0.87792,3229,3229,-3.5131,2.9478,0
631.24,-7.9101,-7.2008,-19.296,0.019957,0.11444,0.0027827,0.00090857,0.88187,7056,7056,-3.5131,2.9478,-0.28798
615.78,-6.9687,-7.1302,-18.704,0.02241,0.11814,0.0030765,0.00087354,0.87791,3230,3230,-3.9716,2.293,0
